X;Y
5,348;-1,458
8,061;8,581
1,516;5,741
8,616;6,545
-0,405;3,071
5,115;1,361
-1,9;7,189
7,166;6,807
0,406;7,076
9,833;7,894
-0,207;3,976
0,362;4,043
0,06;3,909
3,222;0,145
1,726;-0,523
-1,301;6,374
-2,215;4,751
5,095;5,929
1,817;-0,76
2,497;-1,957
5,063;-2,255
6,862;4,106
3,257;-3,677
-0,588;4,208
6,192;-0,931
1,739;5,769
6,733;7,672
5,232;5,058
-0,658;7,387
6,224;-2,923
4,535;-1,982
6,845;5,041
-1,808;6,805
10,588;5,952
6,318;5,599
5,115;6,654
7,406;5,777
3,928;-0,5
5,853;5,229
7,632;3,564
3,746;-0,709
8,645;3,158
5,766;4,598
1,68;4,178
-1,052;2,59
-1,645;3,373
-0,805;6,513
1,928;-1,778
1,039;7,276
4,507;-0,833
2,341;6,184
5,412;1,41
0,22;4,637
8,107;3,924
10,315;6,325
6,294;7,822
10,807;6,671
6,174;6,265
-0,103;7,284
1,58;3,793
0,804;5,558
7,421;8,201
10,236;7,526
0,086;4,136
3,269;0,928
0,156;7,255
6,595;6,991
5,663;4,724
2,076;3,237
4,617;-0,877
4,112;-3,689
6,074;8,122
7,06;6,326
4,576;-2,104
7,586;3,621
0,372;3,437
0,701;7,596
0,265;7,242
-2,698;4,809
8,297;7,618
1,517;5,98
7,779;5,812
9,177;5,787
3,279;-1,51
2,177;5,335
2,71;6,152
0,373;3,917
8,52;5,958
1,336;3,118
1,846;-0,902
4,412;0,874
-0,635;6,68
4,561;1,645
-1,649;6,298
7,785;3,365
2,804;4,258
4,147;0,455
-0,47;3,644
1,966;3,709
6,107;5,418
8,531;7,23
7,496;5,795
2,005;2,893
-2,134;6,313
5,347;-2,611
6,454;-2,035
1,429;3,661
4,077;1,125
4,073;0,127
5,313;0,193
0,936;3,954
6,658;5,774
0,074;7,094
0,396;6,634
5,918;0,532
6,101;3,951
5,727;-1,192
-0,815;6,233
3,159;-2,364
4,763;1,03
3,535;-3,198
1,013;4,519
6,51;5,486
0,066;7,764
4,375;0,046
5,51;1,063
5,546;-0,933
8,385;7
10,574;5,989
5,687;0,943
5,43;-2,14
9,709;7,715
-2,132;4,665
4,577;-2,723
2,707;4,404
3,575;0,073
-0,879;6,061
1,605;4,115
6,722;5,857
-1,22;5,726
-0,659;5,505
-1,493;6,862
2,434;-2,458
-0,148;6,498
-0,629;7,518
1,386;-1,984
6,048;3,942
5,49;6,443
1,656;0,255
4,359;-1,281
8,591;5,892
6,595;-0,685
2,991;-0,286
1,223;5,963
0,022;5,837
7,137;8,533
2,72;5,895
1,502;2,435
5,75;-2,575
7,249;3,55
4,716;-1,03
0,778;3,787
-1,584;6,863
-0,264;3,392
7,733;6,099
3,864;0,718
7,099;4,295
5,248;-3,113
9,435;6,346
4,411;0,345
5,983;5,233
2,553;1,551
4,854;1,783
6,422;3,53
1,861;0,472
6,164;7,069
0,443;5,433
4,864;1,661
8,728;5,49
8,112;4,325
8,393;7,78
2,599;1,572
8,997;7,977
6,608;5,003
6,726;-0,132
1,62;4,68
-0,379;7,742
0,843;4,541
5,658;4,959
6,213;4,032
4,892;0,703
8,948;6,328
2,324;3,97
1,108;6,751
5,521;-2,702
1,363;6,387
6,785;5,977
4,758;0,777
2,424;4,095
7,34;4,94
5,068;-1,719
2,711;5,42
6,699;3,687
8,781;3,151
4,166;-0,749
3,763;-1,397
5,945;6,716
2,983;-3,613
5,172;5,275
8,636;6,609
3,393;-0,51
2,347;4,833
2,53;-2,849
5,625;5,542
2,848;1,169
6,751;3,623
8,188;8,709
7,28;3,193
-1,452;3,928
10,489;5,943
1,931;-1,293
2,678;0,185
8,173;5,028
4,469;0,427
0,827;3,169
4,305;0,415
2,999;-3,631
7,379;6,801
0,485;2,511
3,992;-1,694
6,292;-1,842
6,782;4,639
-0,044;5,716
5,163;5,299
6,558;4,108
7,304;7,21
2,588;5,491
7,564;5,905
6,319;0,648
-0,688;6,061
6,465;7,583
3,677;1,204
0,318;4,81
-0,821;7,227
5,036;-0,168
5,173;-2,301
-0,656;3,433
4,226;-0,862
5,46;5,39
10,691;5,633
0,823;6,168
-1,767;5,52
8,476;8,466
1,248;-0,999
1,186;6,03
1,051;2,386
-0,431;6,805
2,301;5,074
-2,516;3,726
-2,276;6,332
8,6;3,844
5,581;5,226
-0,602;4,498
1,761;2,768
9,29;4,787
3,237;-3,769
0,521;6,027
4,207;1,594
4,043;-1,824
-1,004;5,351
4,548;1,463
9,67;5,975
0,283;4,618
1,87;-1,998
0,481;7,014
5,597;5,589
2,586;0,982
9,178;5,588
1,926;0,952
-1,547;4,888
6,055;-1,644
7,417;7,526
8,54;7,326
6,524;0,549
-1,639;7,175
7,994;6,393
3,146;-1,225
3,755;1,664
4,142;-0,688
5,917;0,952
-2,306;6,378
7,106;8,017
-1,646;6,731
7,194;7,145
6,614;5,193
1,024;3,136
10,592;7,483
2,252;5,757
2,265;3,686
8,167;6,56
8,996;4,687
4,076;1,957
1,516;5,943
6,542;-1,162
6,622;-0,306
6,28;5,229
0,088;7,224
8,553;5,854
0,718;4,549
2,764;5,444
9,033;8,253
1,181;5,529
7,657;5,814
3,878;1,579
0,425;5,159
1,468;-1,143
5,602;7,051
1,019;2,394
8,901;6,325
4,774;-3,293
-0,723;5,399
8,109;5,012
5,682;0,914
2,189;3,45
10,199;5,358
9,921;4,722
4,468;0,599
0,444;7,335
6,566;7,315
6,956;4,104
5,182;5,984
0,63;7,358
0,302;6,92
0,016;3,946
3,847;-1,696
7,088;7,607
4,921;-0,576
-1,717;7,432
2,781;4,846
5,44;6,063
7,357;4,2
0,457;3,17
5,418;-1,147
6,477;6,84
9,035;7,003
1,403;6,249
3,209;1,705
0,993;2,518
7,867;3,12
6,348;-1,583
6,662;6,935
-1,601;4,073
6,501;-2,13
-1,338;5,932
5,441;1,017
10,201;7,046
6,542;4,235
0,43;6,674
8,673;6,638
0,369;4,839
4,554;0,939
6,641;-0,696
5,647;0,853
5,566;-1,912
8,494;8,322
6,179;-2,041
7,521;5,548
-0,758;3,754
3,041;0,042
1,69;4,171
1,738;3,238
5,528;0,609
1,13;5,674
7,339;5,947
5,569;6,796
10,477;5,129
8,678;5,635
7,72;4,69
5,575;1,122
5,505;1,536
3,171;-2,429
10,23;7,08
6,668;3,958
6,19;4,688
6,141;-2,194
-0,119;5,599
6,265;4,127
4,755;0,352
9,603;8,46
1,757;5,761
1,641;6,477
1,556;3,548
2,59;-3,487
0,42;5,207
1,866;-2,022
1,191;4,84
4,385;-0,76
8,966;3,821
4,332;-1,036
9,333;5,645
0,647;4,29
-0,981;4,282
7,13;5,51
6,037;5,605
-1,532;3,963
4,002;-0,941
10,431;6,932
1,635;4,758
5,447;0,089
2,543;1,099
9,552;7,631
9,311;6,764
5,463;7,333
4,184;0,159
0,362;6,482
-0,069;6,023
7,48;4,763
3,851;0,802
6,894;7,382
6,077;-2,326
6,023;-2,147
7,783;8,312
8,413;8,495
5,767;-1,772
4,399;-1,219
1,763;6,721
7,091;8,535
5,163;1,519
-0,604;3,11
-1,248;7,704
2,768;5,23
10,508;5,994
5,041;0,549
4,228;0,364
10,951;6,037
7,869;7,725
3,252;1,71
2,554;6,308
-0,703;6,886
-1,197;4,788
8,045;5,971
3,312;1,011
-1,889;5,897
6,567;6,978
-1,534;7,392
5,092;-1,755
3,342;-0,733
8,914;5,161
5,159;-0,159
6,664;4,511
3,092;0,234
6,627;3,541
2,596;-1,543
1,088;3,84
5,766;-0,77
0,592;3,687
4,823;1,807
2,395;3,428
5,879;-2,677
10,551;4,833
1,396;-0,52
0,001;4,925
7,982;8,614
8,56;8,583
2,304;5,056
0,518;5,224
10,476;5,821
1,304;6,242
-2,028;4,083
7,358;6,649
6,745;-0,703
7,752;3,518
10,052;5,039
1,548;3,115
7,975;4,128
2,218;6,186
8,216;7,58
7,858;5,135
0,576;3,39
0,125;6,851
1,785;0,448
2,548;1,075
1,637;5,849
2,976;0,879
-1,051;2,964
2,33;6,388
2,346;3,309
4,675;-1,878
6,421;-0,903
-1,759;5,472
-1,123;7,587
-0,345;4,775
4,617;1,374
-1,38;2,702
-0,808;3,436
7,05;5,466
1,804;-0,217
4,943;-1,291
-1,35;2,795
2,464;1,161
3,033;-0,207
8,945;7,484
-2,498;3,732
-1,8;6,062
2,513;3,594
6,43;6,572
6,865;-1,835
2,211;5,019
9,942;7,834
-0,762;3,182
5,812;7,934
1,25;-1,695
5,592;5,763
-0,166;2,722
4,108;-3,835
0,221;2,603
4,054;-1,149
2,213;-2,416
7,595;6,917
1,482;2,771
5,988;6,656
2,804;5,51
8,609;6,734
7,879;8,946
5,533;6,698
-0,994;3,71
5,389;6,986
4,529;-2,283
6,772;7,462
5,852;5,308
6,466;-1,359
1,241;-1,736
6,111;7,03
4,709;-0,004
0,089;2,838
1,745;5,132
3,739;1,373
-0,487;2,556
-2,476;4,388
5,491;4,681
6,692;3,321
1,988;-1,564
5,481;1,008
8,203;7,66
8,022;5,025
1,427;6,153
1,098;2,887
-2,319;6,776
1,906;4,339
5,745;7,36
8,26;5,994
1,582;4,255
2,519;-2,976
6,684;4,162
5,082;1,758
7,03;7,163
7,585;5,535
1,851;-1,833
5,694;6,772
8,301;7,961
-1,695;4,776
3,61;1,761
3,237;0,361
1,078;5,856
4,571;0,985
8,127;6,934
2,398;6,084
0,354;4,227
1,378;6,172
7,98;4,535
5,561;7,314
7,989;7,254
9,198;3,418
10,27;7,564
5,653;0,089
1,077;4,004
6,337;5,107
8,928;4,119
0,826;6,038
2,912;1,763
8,921;5,933
-2,052;3,002
-0,593;6,126
-1,309;5,835
-0,136;2,292
5,782;7,179
8,579;3,9
7,103;8,325
3,059;-1,681
3,268;-1,911
4,331;-0,295
5,762;6,693
5,49;7,533
6,751;8,661
4,821;0,799
0,719;7,335
8,945;3,171
2,613;4,311
2,458;-0,479
5,331;-1,968
-2,164;3,568
3,861;-3,835
2,664;5,837
7,087;5,834
2,524;-3,327
3,508;-1,051
3,861;-0,015
1,741;4,716
1,593;6,288
0,889;4,757
-1,349;5,636
5,843;7,051
9,127;4,909
-2,819;5,45
0,946;6,322
7,306;3,331
-1,743;6,62
8,53;4,037
-0,692;6,567
6,979;7,177
8,941;4,129
1,511;-0,117
9,758;4,388
-1,699;7,393
6,157;-1,46
-1,251;4,807
3,238;1,786
-0,876;4,95
7,969;3,561
4,004;-3,559
6,965;3,747
5,206;0,521
2,604;4,175
2,416;6,665
1,941;-1,307
2,531;4,027
1,157;-0,422
1,26;6,478
0,19;2,83
2,01;0,139
1,872;4,687
9,182;6,454
2,118;1,141
7,291;6,372
8,524;3,635
6,845;7,224
8,175;3,202
4,436;0,644
-0,38;3,451
4,265;-2,808
9,582;6,024
0,102;4,058
-0,501;4,892
7,291;4,281
1,957;0,977
1,548;5,094
0,364;6,978
5,59;5,135
7,558;3,35
5,948;-1,5
2,013;1,051
5,698;-0,88
9,727;6,707
8,206;5,885
9,618;5,679
4,243;0,978
3,929;-0,499
1,787;4,039
6,725;6,003
8,521;3,831
5,583;5,553
2,514;-2,399
0,272;5,801
6,169;-0,51
1,338;4,617
0,481;7,163
2,242;3,854
-2,786;5,933
-1,334;3,842
9,721;3,555
7,052;6,289
1,667;3,724
0,771;7,697
7,857;7,948
0,582;5,059
0,177;2,925
10,301;5,907
1,018;6,566
6,348;8,151
1,066;6,746
5,677;6,15
1,793;0,414
2,893;0,401
6,582;-1,801
5,552;5,053
5,097;-2,593
7,015;5,319
5,38;6,016
6,47;0,256
8,356;3,676
2,879;4,251
0,872;2,645
2,67;-1,947
4,985;-0,071
3,765;1,855
-2,851;5,062
5,361;5,375
6,644;6,467
-2,56;5,169
7,616;8,675
9,619;4,251
1,258;7,407
5,857;5,056
5,655;-0,797
5,906;5,3
2,059;3,18
1,84;4,172
9,298;7,707
9,044;6,469
2,527;-0,113
5,324;1,569
2,364;-0,932
0,868;5,541
9,451;3,458
-0,892;5,886
0,276;7,597
6,126;-2,91
0,26;2,743
0,678;3,408
-1,913;5,711
8,302;7,065
9,577;5,62
6,721;3,627
6,6;3,727
6,555;4,499
-1,03;4,608
5,114;1,231
9,137;4,418
-2,323;5,392
0,806;6,687
6,242;6,559
8,034;5,46
1,783;4,921
-1,406;3,01
2,026;6,919
-0,717;5,397
2,483;-0,708
8,222;3,993
0,867;6,076
2,95;-1,417
7,904;6,82
8,673;5,872
2,378;5,1
3,045;0,04
3,154;0,414
-0,103;6,454
5,723;1,355
-0,288;7,289
3,815;-1,303
0,74;3,009
10,322;5,593
2,742;5,997
5,106;-3,027
8,776;8,586
10,269;7,328
5,125;-0,349
-0,692;6,486
-1,085;4,833
2,454;6,612
3,325;0,487
9,318;6,378
7,715;3,868
0,148;6,933
6,863;5,675
-1,349;3,868
-1,115;7,772
5,302;6,164
1,909;-0,059
7,806;5,669
8,318;3,945
5,034;1,367
3,965;1,425
3,014;-3,64
5,104;6,357
0,642;5,647
9,129;8,382
3,217;1,562
3,629;-2,775
9,289;7,631
1,582;0,242
4,978;0,328
0,14;7,265
3,39;1,799
5,615;7,347
9,074;6,137
0,756;5,08
-0,082;5,164
4,246;-0,762
0,635;5,214
2,126;3,156
2,44;4,742
0,517;5,15
1,589;3,011
5,191;0,028
6,502;-0,59
1,987;4,896
9,7;4,173
6,714;4,416
0,308;3,544
2,065;0,165
5,471;5,077
0,832;2,316
1,512;2,993
6,875;6,455
-0,738;7,606
-1,139;4,337
9,078;3,929
5,219;0,128
7,294;4,371
2,646;6,171
8,485;6,635
2,642;-2,867
1,752;-0,195
4,243;-3,468
0,054;4,386
5,756;0,227
-0,143;3,696
-1,969;6,093
0,608;2,314
7,933;4,701
7,896;4,807
-0,023;2,229
0,179;3,784
2,183;6,657
2,378;4,205
9,384;6,556
5,645;4,172
6,611;7,186
6,936;4,614
2,165;-0,964
5,12;6,26
2,972;-2,815
8,784;4,092
2,01;3,992
7,948;6,274
4,841;-1,855
5,548;0,109
5,5;-1,475
6,583;4,832
8,458;5,989
0,451;4,783
-0,247;6,608
0,659;4,596
6,616;7,153
2,027;-1,52
-0,954;7,001
7,643;5,772
8,659;7,753
1,984;-0,932
8,815;5,143
7,818;7,334
7,539;4,787
10,658;5,234
5,304;-0,884
6,943;6,588
1,462;5,8
2,711;4,499
-1,071;5,751
-2,093;6,093
7,679;6,653
1,069;7,009
8,344;6,805
2,406;4,444
6,153;7,807
2,477;4,839
0,193;5,582
2,736;5,951
9,045;7,596
5,534;4,409
5,814;4,217
2,799;-1,308
1,287;6,695
3,076;-0,419
6,803;5,437
8,836;7,822
5,425;0,452
-0,987;4,097
2,755;1,129
0,707;3,75
5,94;-2,723
2,392;-0,297
4,916;0,727
6,289;6,724
6,404;5,596
6,137;5,089
3,248;-0,216
0,706;5,413
7,542;5,91
6,865;-0,237
3,272;-2,528
1,992;4,704
1,515;4,187
0,093;4,788
-1,072;4,828
-1,196;7,295
8,572;3,929
5,484;5,545
2,417;4,97
-2,341;4,344
5,743;-0,509
-0,104;3,171
6,908;4,949
-0,766;6,317
4,598;0,158
0,221;6,411
7,136;5,116
6,832;5,98
2,65;-0,553
1,983;4,122
0,127;6,125
6,416;4,771
4,364;1,592
-1,388;4,621
2,071;3,99
2,23;1,015
3,507;-0,119
10,144;7,114
6,853;4,642
-1,326;4,179
2,235;5,655
5,134;0,885
7,031;6,972
8,465;3,479
5,703;5,702
4,856;1,205
7,921;7,202
5,968;0,274
5,853;7,128
2,498;0,943
2,165;-1,446
2,164;6,212
7,029;3,959
-0,188;5,846
7,17;3,146
7,014;4,151
1,973;5,933
10,643;4,641
4,681;1,259
0,732;2,643
1,704;6,29
10,104;7,317
5,688;-2,39
7,386;8,377
0,44;4,598
2,115;4,76
9,737;7,495
2,415;3,246
3,25;1,667
1,95;4,312
9,045;5,038
-2,793;4,459
2,527;-0,173
6,985;5,737
0,677;5,837
9,654;3,582
8,245;8,317
3,401;-3,095
6,562;4,192
2,397;6,414
6,729;-0,013
7,716;3,742
-0,08;6,658
9,867;6,739
-1,291;4,483
8,317;7,087
2,71;5,707
5,455;7,113
0,029;2,421
5,96;5,381
-0,502;2,61
5,836;-1,961
2,626;5,523
1,17;-0,719
2,561;4,847
2,815;0,378
8,643;7,231
-0,875;2,619
3,36;-2,856
0,05;3,198
10,462;4,476
2,415;5,7
0,62;5,986
5,058;-0,558
3,533;-0,818
-0,358;2,862
5,747;7,159
-1,347;3,196
5,03;-2,848
-2,474;5,674
-1,638;6,577
8,686;3,222
7,903;3,657
6,509;5,84
7,326;6,066
7,947;4,057
3,071;-1,036
8,424;5,206
-2,421;5,319
4,558;-0,188
2,785;1,727
7,405;4,081
6,254;-2,778
0,954;2,48
5,404;-1,888
8,178;3,666
5,808;-0,951
5,014;1,637
-0,661;2,463
0,676;6,359
3,995;-2,656
-0,116;5,69
-0,397;4,919
1,088;4,17
7,823;4,178
4,906;1,681
2,393;-2,407
-0,543;4,342
2,41;-1,13
0,193;4,229
-1,089;6,275
0,465;6,368
8,71;5,761
10,223;4,568
7,759;7,844
6,045;6,774
2,873;0,909
7,652;3,748
7,104;5,449
2,441;5,604
5,659;5,741
9,791;7,485
2,809;1,073
7,482;4,375
10,399;7,2
7,565;7,98
-0,456;6,438
2,047;-0,493
5,602;0,701
1,542;5,954
6,138;7,757
2,984;1,007
4,158;0,963
8,545;6,939
5,242;-0,437
-0,398;4,317
0,657;2,183
6,336;-0,299
2,413;5,569
5,943;-1,476
2,427;5,232
0,337;7,756
9,95;7,828
1,96;1,096
9,414;5,611
-1,254;5,977
6,991;4,329
3,137;-2,37
0,601;3,325
2,843;0,119
-0,998;6,854
9,62;7,929
5,591;1,15
1,87;4,007
6,493;-2,338
0,78;4,89
8,473;3,643
2,784;4,283
7,956;6,336
0,032;2,794
2,929;1,661
7,047;4,226
-0,423;3,656
8,666;4,274
1,147;2,263
3,477;0,67
5,489;-1,922
7,155;8,298
4,922;1,373
0,639;6,017
4,635;0,753
8,117;8,143
6,84;4,184
4,503;1,61
7,465;5,887
-0,967;3,843
6,664;0,167
7,537;4,128
2,783;6,064
5,904;4,743
3,416;-2,379
8,477;6,433
5,77;-0,609
0,341;6,41
1,352;5,192
2,648;5,064
5,219;6,734
1,72;7,443
1,419;5,321
4,675;1,405
2,32;3,361
9,263;8,1
1,662;4,604
1,893;-3,121
4,095;1,89
3,497;-2,282
5,912;-2,709
8,522;4,356
6,531;3,487
1,771;-1,647
8,944;4,976
7,094;6,482
3,78;-2,215
6,761;4,91
10,406;7,624
-1,482;4,025
6,868;3,343
10,107;4,447
0,198;6,23
4,208;1,332
2,168;4,915
8,366;7,018
2,245;5,579
-0,029;5,502
5,516;5,267
-0,257;5,425
-2,632;5,568
9,061;8,625
1,98;5,141
7,172;5,943
8,564;7,302
8,274;8,875
8,718;5,494
6,774;6,383
9,916;7,883
1,828;4,988
5,714;-2,172
1,916;7,273
0,453;7,563
-0,667;3,029
8,628;8,71
4,107;1,08
-0,26;5,848
6,266;0,299
-1,885;6,788
2,597;1,215
1,91;-2,899
5,409;0,96
2,242;-0,441
1,695;4,348
6,267;4,778
-0,545;6,215
-0,844;4,186
5,859;8,071
6,438;3,554
7,887;7,157
8,306;5,023
7,312;7,904
8,566;6,292
5,502;-2,394
5,72;6,159
4,803;0,376
1,626;3,399
7,583;5,629
-2,628;4,185
7,764;6
0,378;4,793
5,35;5,179
7,711;3,879
6,714;-2,169
5,899;-2,105
1,547;0,011
8,928;3,95
1,426;4,477
8,937;4,91
6,992;6,95
-1,193;5,17
6,973;-1,073
0,941;6,078
0,427;3,239
-1,65;3,787
3,271;-1,139
7,832;6,621
9,712;7,919
4,054;-1,446
10,199;4,163
0,813;3,695
3,298;0,53
2,747;4,515
5,142;-0,994
4,151;-1,46
2,834;0,226
-1,013;7,223
1,507;5,362
2,101;3,201
7,97;5,505
8,452;6,024
1,363;2,567
6,17;6,198
5,677;4,507
1,629;-0,202
4,862;-2,5
9,209;5,631
-1,217;3,685
2,268;4,224
4,607;-2,505
5,888;6,866
2,668;3,714
7,254;7,801
8,319;3,869
6,154;8,313
5,436;-2,164
3,997;-1,5
1,763;-1,581
3,881;1,072
0,256;7,811
0,205;2,544
5,895;1,112
-1,621;6,425
-0,082;4,577
2,456;-0,594
1,914;5,01
5,631;4,56
1,485;4,55
3,445;-1,291
9,937;5,012
8,551;7,843
0,191;5,198
1,253;-0,221
7,031;7,12
6,154;5,084
0,242;4,56
0,631;2,312
7,409;8,797
10,019;6,003
7,227;6,157
-0,819;2,374
1,811;2,74
5,517;7,225
1,904;6,639
3,174;0,421
6,474;6,554
-1,283;4,398
6,611;3,893
6,148;7,365
7,993;4,562
6,711;6,706
8,629;8,239
6,551;3,549
1,84;5,838
1,903;3,223
2,748;-1,057
2,847;1,488
1,514;2,777
2,091;5,425
-1,611;4,886
8,04;5,198
5,951;-0,86
9,548;7,873
-2,178;6,511
0,048;5,385
10,859;6,55
10,068;6,042
0,602;2,766
4,78;1,266
6,664;4,918
2,444;0,753
4,533;-2,16
8,947;5,176
-2,061;5,398
3,203;-0,596
7,157;3,6
5,359;-1,867
-0,59;3,129
-0,838;6,584
-0,445;4,141
0,772;3,188
8,162;7,446
6,754;6,269
1,986;-2,163
2,645;5,15
0,045;5,701
6,396;4,523
6,946;6,373
1,582;4,299
9,897;6,714
1,58;-2,148
-0,435;5,778
8,694;6,487
5,214;-0,637
9,04;4,538
9,057;3,561
-0,284;5,142
5,863;4,692
2,413;1,035
-1,829;5,553
10,797;5,418
-0,436;4,883
4,581;1,663
1,993;4,399
4,068;-0,005
-0,094;6,417
1,528;5,555
0,499;3,277
1,622;6,45
-0,199;7,18
7,081;5,311
7,11;5,675
8,61;7,155
5,76;6,051
8,413;6,304
3,463;1,472
1,483;6,605
-2,76;5,754
2,832;-0,41
7,045;6,69
0,271;4,521
10,545;5,408
0,829;2,522
6,752;-0,459
5,86;0,622
2,228;4,401
7,758;7,044
4,801;-0,334
1,627;4,19
7,686;3,049
8,689;8,103
8,193;7,513
3,646;-3,425
6,127;6,591
7,841;3,094
0,265;2,074
7,772;6,679
9,463;3,502
2,733;-1,784
2,435;3,455
8,883;4,758
5,4;-2,353
4,564;-0,22
6,77;5,698
6,107;0,401
2,32;0,999
5,31;-1,924
-1,268;5,389
7,177;6,35
2,011;3,668
10,499;5,56
6,815;-0,29
3,652;1,796
4,287;-1,426
7,805;7,008
6,756;7,038
0,187;3,017
1,987;-1,102
2,329;5,741
8,124;5,541
-0,487;3,254
6,73;5,365
4,232;1,673
2,759;-0,268
8,09;7,589
-0,905;4,685
7,898;8,773
8,2;7,804
2,197;0,22
3,726;-0,65
0,718;3,185
6,287;7,721
-0,708;2,289
3,86;-1,224
-1,905;3,504
4,699;1,719
2,887;4,694
6,919;4,323
3,731;-1,57
6,851;4,886
4,214;0,811
9,906;5,474
3,549;-1,471
0,725;3,696
10,112;4,252
1,932;3,859
7,249;7,027
-0,431;5,893
8,745;7,677
-2,629;4,121
9,46;5,527
4,601;-0,537
4,056;-0,772
4,447;1,469
1,472;-1,744
-2,217;4,703
2,019;5,747
1,806;2,824
8,275;8,285
0,563;7,14
4,443;0,666
8,825;3,502
0,471;6,135
6,546;-0,219
-0,359;4,138
10,452;4,34
4,483;0,847
1,539;0,62
0,383;4,296
5,995;-0,029
9,76;4,844
2,164;-1,048
5,875;4,114
5,952;6,526
6,347;5,611
3,998;-2,725
1,883;1,024
1,125;4,542
1,848;3,733
9,928;4,006
3,738;0,39
6,177;4,105
-1,118;4,913
-0,837;5,579
-0,657;7,794
-1,074;2,222
4,858;0,844
-1,821;4,953
6,148;5,18
1,032;2,647
6,103;7,28
2,972;5,176
4,305;0,245
5,995;5,536
3,4;-0,697
1,642;6,531
-2,768;5,192
0,888;5,531
2,571;4,286
6,738;3,341
2,769;0,685
7,64;7,345
-1,495;5,793
1,809;5,945
2,774;-0,306
8,453;3,608
0,313;7,285
2,272;3,209
7,162;3,789
2,96;0,007
5,505;-2,042
1,482;-0,965
0,569;4,145
4,509;-1,119
5,755;0,28
9,296;4,97
1,541;-2,693
5,469;-2,829
0,366;2,534
6,974;-0,76
0,5;6,749
-0,114;4,057
0,361;6,366
-1,271;3,196
1,139;6,11
1,222;6,805
2,081;1,227
1,111;2,524
1,905;6,394
2,372;0,652
1,708;5,483
-2,687;5,137
2,299;4,733
5,481;4,902
1,331;2,431
8,577;6,592
2,981;-1,481
8,562;3,136
6,454;6,833
6,24;5,214
2,993;1,4
-2,367;3,787
1,295;7,205
3,665;-0,692
4,183;0,356
-0,193;5,297
-0,521;6,607
6,656;-0,09
1,626;6,999
8,947;4,787
-2,051;4,233
9,377;6,543
0,525;5,072
1,312;3,218
2,133;-3,273
2,552;4,609
7,872;4,89
4,896;-0,778
10,657;5,613
10,359;4,43
4,059;-1,998
6,569;4,63
2,673;5,101
-2,877;5,104
5,659;4,686
-0,396;6,963
9,456;5,954
0,276;2,298
7,302;4,864
5,526;-0,305
5,931;1,182
0,296;7,466
7,096;7,926
2,682;4,35
1,328;5,298
1,612;-0,292
5,27;6,997
-1,51;5,139
5,745;5,398
-1,504;3,055
5,347;5,727
5,738;7,715
6,227;0,079
